X: 308.000000, Y: 354.000000
X: 308.500000, Y: 358.500000
X: 444.000000, Y: 366.000000
X: 308.000000, Y: 358.000000
X: 309.000000, Y: 357.000000
X: 308.500000, Y: 357.500000
X: 309.000000, Y: 357.000000
X: 305.000000, Y: 357.000000
X: 287.000000, Y: 354.000000
X: 261.000000, Y: 322.000000
X: 257.500000, Y: 313.500000
X: 258.500000, Y: 306.500000
X: 441.500000, Y: 370.500000
X: 250.500000, Y: 309.500000
X: 439.500000, Y: 367.500000
X: 255.000000, Y: 313.000000
X: 259.000000, Y: 304.000000
X: 258.000000, Y: 303.000000
X: 260.000000, Y: 305.000000
X: 257.500000, Y: 308.500000
X: 258.500000, Y: 308.500000
X: 267.500000, Y: 292.500000
X: 275.000000, Y: 237.000000
X: 441.000000, Y: 367.000000
X: 281.000000, Y: 251.000000
X: 275.500000, Y: 252.500000
X: 274.000000, Y: 253.000000
X: 274.500000, Y: 255.500000
X: 272.500000, Y: 251.500000
X: 270.500000, Y: 244.500000
X: 265.500000, Y: 257.500000
X: 444.500000, Y: 368.500000
X: 255.000000, Y: 283.000000
X: 258.000000, Y: 320.000000
X: 252.500000, Y: 321.500000
X: 246.500000, Y: 326.500000
X: 265.500000, Y: 353.500000
X: 267.500000, Y: 332.500000
X: 273.000000, Y: 330.000000
X: 270.000000, Y: 332.000000
X: 268.500000, Y: 337.500000
X: 273.500000, Y: 334.500000
X: 272.000000, Y: 335.000000
X: 275.500000, Y: 334.500000
X: 276.000000, Y: 332.000000
X: 275.500000, Y: 333.500000
X: 275.000000, Y: 333.000000
X: 272.000000, Y: 335.000000
X: 274.500000, Y: 329.500000
X: 274.000000, Y: 321.000000
X: 274.000000, Y: 295.000000
X: 263.500000, Y: 269.500000
X: 255.000000, Y: 256.000000
X: 246.000000, Y: 240.000000
X: 232.500000, Y: 226.500000
X: 222.000000, Y: 235.000000
X: 209.500000, Y: 235.500000
X: 246.500000, Y: 320.500000
X: 300.000000, Y: 345.000000
X: 331.000000, Y: 342.000000
X: 352.000000, Y: 341.000000
X: 340.000000, Y: 318.000000
X: 347.000000, Y: 328.000000
X: 344.000000, Y: 318.000000
X: 342.000000, Y: 308.000000
X: 360.000000, Y: 348.000000
X: 358.500000, Y: 287.500000
X: 349.000000, Y: 287.000000
X: 336.000000, Y: 315.000000
X: 325.500000, Y: 376.500000
